airline_sentiment,clean_tweet
neutral,dm u also add
positive,grandma ella th would lt bday greeting flight crew stewardess eastern airlines
positive,bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever
neutral,anytime sugafly
positive,gave credit late flight flight yesterday great service wow moment unexpected gesture
neutral,need receipt flight change send one
negative,submitted status match request back still heard flying monday look accelerate
positive,safety video loved first cross country flight livewelltraveled sytycd
positive,look fat looks yummy
neutral,ceo says southwest amp jetblue strayed low cost model
neutral,brilliant brisk boston cue vx
neutral,atlantic ploughs lone furrow middleeast
neutral,atlantic ploughs lone furrow middleeast
neutral,atlantic ploughs lone furrow middleeast
positive,omg omg nonstop dallas austin virgin
positive,planes really pretty thought u know
neutral,flying hawaii
negative,pulling hair trying book flight u site work iphone ipad computer help
positive,thank
negative,get help support ticket days incident thank
positive,good home texas moodlighting
negative,cannot even open laptop seat c paid premium let
negative,seat c cannot even open laptop paid extra seat
neutral,guys starting flights end month guess still road tripping feb
positive,thanks needing way make austin trips dca come
neutral,announced new route austin w fares way
neutral,really sprint thought guys kewl
positive,cool never ur planes
neutral,dollar lax las fares
positive,great well deserved
negative,fyi info com email address say contact password reset emails exist emails bounce
negative,status match weeks gone news flt next week hope flt count towards requirement cust svc help
negative,website sucks donkey dicks thought know best
neutral,still develop app favorite airline
negative,crap channels pay watch uk tv
positive,got set thanks
neutral,channel year
neutral,thing see passbook virgin mobile mexico integrate
positive,giants virgin america match made heaven
positive,thank goodness also see friday nwk gt sf boom
negative,come iphone app still using making waste paper
negative,back seat entertainment system accept credit cards apostrophe surname apostrophefail
negative,vx use lga slots instead today adding aus makes less likely
neutral,helping step game tindertips tinderchamp
positive,luv ur people product thing u charge herbal tea black tea caffeine drinker
positive,thank see soon excited see expansion destinations spread wings
neutral,announces new nonstop connecting amp intro
neutral,adds austin dallas love field route
negative,sad learn longer fly sfo gt phl hope returns
neutral,tweet cancelled flight chng fee flight rebook one affiliates afiliates
positive,incredible customer service ever experienced refreshing
neutral,see virginamerica come philadelphia phl
positive,dreaming really open route dallas austin mean houston might next
positive,omg finally
neutral,start xweekly flights dallas austin apr avgeek
neutral,nice see expanding texas forget us sandiego would love see flights
negative,kinda sucked earphone jack work flight may want look future passengers
negative,poor experience first computer problem seat malfunction stuck missing meeting san diego
neutral,battle route via
positive,thankyou dal aus route makes day
positive,awesome deals dal aus way
neutral,miss nerdbird san jose
positive,love taking backyard consumers win biz competes
positive,flying love austin excellent news
neutral,make every vx plane nerdbird austin one getting nerd love
neutral,please add frequency pdx portland
positive,congrats vx new route
negative,tried offered charge additional k new ticket stranded thurs st time last time
neutral,u help flights get old battling cancer needs treatment
negative,never bad experience one took cake extortion carry items well
negative,spend hours worrying items carryon would broken stolen since carry plane lock bag
negative,group e told room bins got plane room least bags row
negative,thanks making flight lax jfk nightmare forcing check carry bag gate
negative,lots flights book site working phone waiting minutes
positive,flight artisanal cheese wine pairing
neutral,virgin america fly direct seattle nyc boston
positive,classy
positive,sure lot jfk lhr flights go lot faster mph strong tailwind
positive,minus minutes elevate silver upgrade window opens freeneversucks
neutral,save tomorrow
negative,taking years fly home dallas get shit together
neutral,club virgin bumping new york
positive,would rough trip luckily virginamerica flight weather
neutral,thestarter
neutral,please come minneapolis st paul
neutral,yes fyi bff
positive,another perfect flight come planes sun visors stay carriers make raise
positive,nice rt man steel might faster wifi saying sciencebehindtheexperience
positive,love dancing little richard cool beans
positive,use passbook still love though lt use email future
positive,thanks free birthday points right
neutral,application ios looking saw virgin mexico lt
negative,man steel flies cities though frequency
positive,thanks much sharing added site
neutral,good point
neutral,heard virgin mobile hotspot
neutral,got cheese plate flights
neutral,flights
positive,dad segway best part whole infographic
positive,plans short haul airline europe would defiantly fly guys
positive,wifi better seating
neutral,come abc one network channels
negative,started flight scolding using overhead bin offered person seated next
positive,great return calls day ask myvxexperience
negative,airlines cancelled flighting flights bos helping customers get home virgin saying good luck
neutral,dear virgin customer stranded sf days amp cost least accommodate
neutral,use next airline commercial lol
negative,grouping virgin others bos weather exposed actual cus serv model never flight booking problems virgin
negative,one travelers affected boston storm shocked virgin complete apathy toward customers
negative,umm reason someone different contact contact get definitive answer
negative,trying make change advance hours prior tried online earlier wanted change fees
positive,loyal driving nyc pa fly virgin since cut philly flights
neutral,way change main cabin main cabin select flight without paying change fee penalty
positive,guys perfect always lt wervirgin
positive,thanks best customer service left industry
neutral,give silver status months
positive,really wish fly fargo fares amazings
negative,mood lighting point reclining seat kickin feet
negative,flight scheduled pm departure still says time plane gate update long delay
negative,group got cancelled flightlation fees waived ticket booked reps help either
neutral,sign bonuses enroll elevate
positive,got pm newark home la folks ewr incredible letsgohome
neutral,morning question regarding elevate points amp flights dm
neutral,still waiting see
neutral,wondering guys recieved dm able potentially respond asap
positive,flying lax sfo looking awesome movie lineup actually wish long haul
neutral,book town fares way restr
positive,thanks
positive,thanks taking care mr happy customer
negative,still refund word via dm please resolve issue cancelled flightled flight useless assistant trip
negative,delayed due lack crew delayed long line deicing still need improve service united
positive,thanks filled luck common
negative,eri ord express connections hugely popular could eri ewr hop
neutral,even international flight glasgow u orlando newark mins
negative,think boarded flight au early think
neutral,understand tough way get airport w serious risk accident steep price
negative,gate agent hooked alternate flights way prevent constant issues would rock
neutral,flying gla mco weeks long airport departure international domestic ta
positive,thanks
positive,thanks ticket
neutral,law policy
negative,worst nonrefundable first class tickets oh select global fc system auto selects economy w upgrade
negative,buy tix days flight transfer tix flawed security logic flawed customer service
negative,start claim weeks unrealistic really supposed go long car seat child ridiculous
positive,follow please airline beautifull
neutral,sure united info system
negative,car seat lost reimburse new one pair shoes necessity child
neutral,submitted response link sent
neutral,yes david allan send email number kmm v l km case
negative,totally sucks cousin worked phl said
positive,wanted let know wonderful rosetta gate agent working flight dan ase let know wasappreciated
neutral,yes paper voucher got january th
negative,beginning feb called united said would send another voucher mail never got anything tiredofwaiting
negative,internet great thing emailing executives company maybe respond timely manner
neutral,need use chase united club pass yr old son come pass
neutral,suppose number
negative,thats weak see ya hey
negative,flew back w company since united didnt earlier flight
neutral,lost voucher given miami aeroport jan use
negative,trying book awards september need flights show even w many award seats availab
negative,sure drive total hours get bag like explain debacle one wants talk
neutral,gee like almost caring ppl think int trusted adult w daughter
negative,see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue
negative,preferred security line anymore tsa pre check pull partner flight platinum spoiled
negative,newarkliberty airport need indicate different gate terminals amp c flyingainteasy
negative,yes please newly married trying update last name preexisting international flight seems easy
negative,united refuse reissue lost voucher plane take due mechanics badcustomerservice
negative,also run instructed shattered computer
negative,yes agents last minutes one agents rude thankfully ladan nice
neutral,right overnight miami
neutral,clients hr layover iah day claim amp recheck luggage taken care
neutral,trying find loaner seat new used used car seat illegal according safety regulations
neutral,dmed details
negative,iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer
neutral,kewl also let know overhead bin row inop love good abbreve
positive,thanks help got need issue guess sit awhile longer
negative,would loved respond website saw really long form business new seats bad
negative,refund flight vouchers another flight different airline expense today hour drive inconvenient
negative,received call back days infant car seat supposed go anywhere child
neutral,thanks concern contact customer care upon return australia
negative,well sitting ground time waiting gate tiredofthis
positive,airport snow removal method keep good work folks cessna become
negative,need guys book planes concern travel someone else moving forward
negative,measly e certificate appreciate loyal customers wait hrs tarmac ua unacceptable
negative,email address username sign available
positive,thank able claim interim expenses cost stuff
negative,rude rude
negative,get boarding pass austrian airlines codeshare flight rebook incls hour layover amp stuck outside sec
negative,received flights united truly breaks guitars unitedbreaksguitars wantmymoneyback
negative,flew telaviv paid third suitcase even make plane besides impolite service
negative,bag still colo springs disabled search unfamiliar airport look bag good outcome
negative,shame flex tickets transfer rules even calling neurosurgery icu enough
negative,denver said handle baggage made colo springs gave number call help either
negative,guys need serious training customer service many better options put way guys handle ur mistakes
neutral,ord dca
negative,found problem avoided like plague told find supervisor
negative,zcc u cancelled flight flight h advance need connect flight reschedule link helping help gf waited months see
negative,flying
negative,addition first flight delayed hour arriving destination hrs late flight
neutral,cancelled flighted flight rebook us added flight drive denver kc thanks
neutral,announcement pre boarding addresses mobility disability requires travel lot stuff preboard
positive,flew united last month experience awesome
negative,travel booked thru united group dept okc ticket agent less willing help connection lax
negative,v upset disability services told one employees carrying medical equipment rude
negative,thnx quick reply think assist intl grp put considerable inconvenience today
negative,wont transfer flight ticket accompany yr old active military mom emergency brain surgery wow
negative,weeks late flightr still received miles mileageplus gift card starbucks card handed
negative,k always hoping improvement
negative,yet complained guy checked luggage throwing bags around unfortunate coincidence hope
negative,okc ticket agent roger mclarren sp less helpful intl group travel problems find supervisor help
negative,mobile apps need construction ground os category expensive get right
negative,another fail united ticket agents okc less helpful could care less problems american come
positive,also working wc coach good thing bird landed ahead schedule use wc stat
neutral,os controlled rather app new
negative,sent email customer care telling may break sincerely hope help
negative,silly flying delta today united club staff attendants surly unhelpful always seem bothered pesky folk
negative,phone number find call flight reservation
negative,well fix missing buddies th bday negligence attempt make
negative,believe help customer service like said want number someone fix
negative,helped baggage service desk said bc tsa screening fll bags made bag ewr
negative,mobile boarding pass disappeared phone standing line board second time week hmm
positive,record rozana newark lovely helpful choosekind
neutral,last night ord lga
positive,thx update
neutral,thank
neutral,dm nuts
negative,explain eager flight attendant trying ask vision guide dog
negative,point asking details servicedog book flight crew read continued
negative,tried one available bogota everyone rude houston stuck hours guys
negative,worst unitedflightsever ua las iad mechanical problems took land fix delayed wtfodds
positive,despite bag making newark good informative email tracking updates help
negative,going ua outbound flight last thurs delayed hrs long delay worst unitedflightsever
negative,worst unitedflightsever ua iad las mechanical problems switched aircraft delayed hours
negative,crashed trying check
positive,wow deal plus seats available easy change make customer happy
neutral,thanks info already knew
neutral,airline trouble winter amp getting good customer service contact negotiate resolutions
negative,logan boarding gong show due lax carry enforcement bins full coats room bags u need better system
neutral,thank
negative,blackmailed paying extra return ticket nullified san francisco airport terrible service rep scam
neutral,email address reach long dm
negative,disappointed u didnt honor credit given ur mistakes taking business elsewhere
negative,ua still waiting supposed depart
negative,credit last trip never came mail
negative,ok months waiting hear airline gave quite bit days requested terrible service
negative,process ever end still waiting reply since months pathetic customerservice
negative,going website flight booking problems three tickets today booted system umpteen times
negative,get account number website says email unavailable
neutral,need book two one ways order fly unaccompanied minor
negative,received bag last night still missing one
negative,need upgrade seats even economy plus like sitting concrete bench
neutral,pls help baby hannah get life saving surgeries requires needs help pls donate rt
neutral,bet wont honour like mine ey
negative,nd flight also delayed pilots boarded sit scheduling
neutral,guess much ask huh
negative,hard stay upset someone least try show remorse
negative,way simple apology goes long way even hollow one obvious care well
negative,one time thing either shocking pattern repeated neglect disrespect
negative,fingers crossed amp intact disappointed experience actually saying enjoyed using
negative,incredibly easy fix would rather stay comfort zone get forced mine
negative,july zero excuses date system causes problems like
negative,everyone around us sitting friends family members booked tickets october december bought
negative,sure talking going nonstop flights sna sfo sfo ewr
negative,moving talk service
neutral,please good weekend
negative,asked legitimate question systemwide vs localized problems got back unrelate flightd copy paste better
negative,time call need skis go airport get faith united
negative,see guys amazing one company continually makes mistakes yet fails held accountable error
neutral,tourist wonder super tides tide century french u k coasts
negative,yeah sorry always problem united international reputation problems
neutral,yall probably work
negative,maybe would care hear went whoever listens issues caused
negative,wonder sharing fb insta would produce number characters really limits story telling
negative,telling number call left airport negligent pilot staff
negative,could email resent doesnt appear arrived
neutral,yes please trying get pop newark
negative,follow order dm come
negative,united coupon make broken entertainment system hour flight seriously ridiculousness learncustomerservice
negative,drop bag overnight amp leaving week supposed hold bag
negative,dm details still response book today
neutral,know probably way get cheaper airfare ticket flight leaving hours
neutral,someone please explain process happens property found plane passengers leave heathrow
negative,able dm confirmation number
negative,sent message let know got twitter literate also really going stuck hrs
negative,unhappy response complaint emailed nd feb ref awful customer service
neutral,dm work
positive,private jet would cool work try
negative,given option using united travelbank recent flight booking problems help using recouping funds thanks
negative,common keep paper work ready delay flights meetings
neutral,yul ord
negative,yep correct got email flight cancelled flightled matter flight atl delayed thx
negative,k problem getting fll iah sent dm making connection please let know
neutral,done done
positive,thanks sent
negative,grounded montreal ua missing connection ua st louis help private jet
negative,frustrated nervous
negative,ones make difficult
negative,child someone issue flying prepares ahead time reduce distress caused planes
negative,get cancelled flightled hours take
negative,always happens guys makes traveling incredibly stressful uncomfortable good business
negative,someone severe anxiety one person help next
negative,seeking go client b c u cant get need refund filled form confident works past indication
neutral,thnx response bot seems improvement could easily attained st class service really worth
